id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
45,SINK_M,SimpleCase,Actuator,M.B,7,1,2,1,ServiceA,0,63.00006379097093,63.00006379097093,61.98885571161049,63.00006379097093
51,COMP_M,SimpleCase,ServiceA,M.A,0,12,0,7,Sensor,5.063291139240507,63.00020833333333,68.06349947257384,60.0,63.00020833333333
42,SINK_M,SimpleCase,Actuator,M.B,14,1,9,1,ServiceA,0,64.00006833642547,64.00006833642547,59.00055277777778,64.00006833642547
46,COMP_M,SimpleCase,ServiceA,M.A,0,4,0,14,Sensor,2.2857142857142856,64.001107748538,66.2868220342523,53.0,64.001107748538
43,SINK_M,SimpleCase,Actuator,M.B,16,1,11,1,ServiceA,0,65.03225854247539,65.03225854247539,61.03216540052962,65.03225854247539
52,COMP_M,SimpleCase,ServiceA,M.A,0,15,0,10,Sensor,4.968944099378882,66.0003840909091,70.96932819028798,61.0,66.0003840909091
44,SINK_M,SimpleCase,Actuator,M.B,13,1,8,1,ServiceA,0,67.03234187580873,67.03234187580873,62.93915660493827,67.03234187580873
54,COMP_M,SimpleCase,ServiceA,M.A,0,16,0,11,Sensor,5.031446540880503,68.00055219298247,73.03199873386298,63.0,68.00055219298247
47,SINK_M,SimpleCase,Actuator,M.B,11,1,6,1,ServiceA,0,70.00002818491033,70.00002818491033,68.00001853741497,70.00002818491033
55,COMP_M,SimpleCase,ServiceA,M.A,0,13,0,8,Sensor,4.938271604938271,70.00071833333335,74.93898993827162,64.0,70.00071833333335
48,SINK_M,SimpleCase,Actuator,M.B,8,1,3,1,ServiceA,0,71.00003273036488,71.00003273036488,68.876570402859,71.00003273036488
59,COMP_M,SimpleCase,ServiceA,M.A,0,10,0,5,Sensor,8.938547486033519,72.00001785714285,80.93856534317636,70.0,72.00001785714285
51,SINK_M,SimpleCase,Actuator,M.B,12,1,7,1,ServiceA,0,72.00003727581942,72.00003727581942,68.06349947257384,72.00003727581942
56,COMP_M,SimpleCase,ServiceA,M.A,0,14,0,9,Sensor,5.0,72.00088611111113,77.00088611111113,65.0,72.00088611111113
61,COMP_M,SimpleCase,ServiceA,M.A,0,7,0,2,Sensor,8.98876404494382,73.00002499999998,81.9887890449438,72.0,73.00002499999998
60,COMP_M,SimpleCase,ServiceA,M.A,0,11,0,6,Sensor,10.0,73.00002687074829,83.00002687074829,71.0,73.00002687074829
49,SINK_M,SimpleCase,Actuator,M.B,9,1,4,1,ServiceA,0,73.00004182127397,73.00004182127397,69.93792319875777,73.00004182127397
50,SINK_M,SimpleCase,Actuator,M.B,10,1,5,1,ServiceA,0,74.00004636672851,74.00004636672851,69.93859034317637,74.00004636672851
62,COMP_M,SimpleCase,ServiceA,M.A,0,8,0,3,Sensor,9.876543209876543,75.0000438596491,84.87658706952564,73.0,75.0000438596491
53,SINK_M,SimpleCase,Actuator,M.B,7,1,2,1,ServiceA,0,75.00005091218306,75.00005091218306,71.98882237827715,75.00005091218306
63,COMP_M,SimpleCase,ServiceA,M.A,0,9,0,4,Sensor,9.937888198757763,76.00005166666664,85.9379398654244,74.0,76.00005166666664
46,SINK_M,SimpleCase,Actuator,M.B,4,1,14,1,ServiceA,0,76.0000554576376,76.0000554576376,66.2868220342523,76.0000554576376
